      Lon      Lat    Year  Fraction
     9.75    49.75    2072      0.85
     9.75    49.75    2073      0.85
     9.75    49.75    2074      0.86
     9.75    49.75    2075      0.87
     9.75    49.75    2076      0.88
     9.75    49.75    2077      0.89
     9.75    49.75    2078      0.89
     9.75    49.75    2079      0.90
     9.75    49.75    2080      0.90
     9.75    49.75    2081      0.90
     9.75    49.75    2082      0.91
     9.75    49.75    2083      0.92
     9.75    49.75    2084      0.92
     9.75    49.75    2085      0.93
     9.75    49.75    2086      0.95
     9.75    49.75    2087      0.95
     9.75    49.75    2088      0.96
     9.75    49.75    2089      0.96
     9.75    49.75    2090      0.97
     9.75    49.75    2091      0.98
     9.75    49.75    2092      0.98
     9.75    49.75    2093      0.98
     9.75    49.75    2094      0.99
     9.75    49.75    2095      0.99
     9.75    49.75    2096      0.99
     9.75    49.75    2097      0.99
     9.75    49.75    2098      1.00
     9.75    49.75    2099      1.00
     9.75    49.75    2100      1.00
     9.75    49.75    2101      1.00
     9.75    49.75    2102      1.00
     9.75    49.75    2103      1.00
     9.75    49.75    2104      1.00
     9.75    49.75    2105      1.00
     9.75    49.75    2106      1.00
     9.75    49.75    2107      1.00
     9.75    49.75    2108      1.00
     9.75    49.75    2109      1.00
     9.75    49.75    2110      1.00
     9.75    49.75    2111      1.00
     9.75    49.75    2112      1.00
     9.75    49.75    2113      1.00
     9.75    49.75    2114      1.00
     9.75    49.75    2115      1.00
     9.75    49.75    2116      1.00
     9.75    49.75    2117      1.00
     9.75    49.75    2118      1.00
     9.75    49.75    2119      1.00
     9.75    49.75    2120      1.00
     9.75    49.75    2121      1.00
     9.75    49.75    2122      1.00
     9.75    49.75    2123      1.00
     9.75    49.75    2124      1.00
     9.75    49.75    2125      1.00
     9.75    49.75    2126      1.00
     9.75    49.75    2127      1.00
     9.75    49.75    2128      1.00
     9.75    49.75    2129      1.00
     9.75    49.75    2130      1.00
    13.75    55.75    1980      0.00
    13.75    55.75    1981      0.00
    13.75    55.75    1982      0.00
    13.75    55.75    1983      0.00
    13.75    55.75    1984      0.00
    13.75    55.75    1985      0.00
    13.75    55.75    1986      0.00
    13.75    55.75    1987      0.00
    13.75    55.75    1988      0.00
    13.75    55.75    1989      0.00
    13.75    55.75    1990      0.00
    13.75    55.75    1991      0.00
    13.75    55.75    1992      0.00
    13.75    55.75    1993      0.00
    13.75    55.75    1994      0.00
    13.75    55.75    1995      0.00
    13.75    55.75    1996      0.00
    13.75    55.75    1997      0.00
    13.75    55.75    1998      0.00
    13.75    55.75    1999      0.00
    13.75    55.75    2000      0.00
    13.75    55.75    2001      0.00
    13.75    55.75    2002      0.00
    13.75    55.75    2003      0.00
    13.75    55.75    2004      0.00
    13.75    55.75    2005      0.00
    13.75    55.75    2006      0.00
    13.75    55.75    2007      0.00
    13.75    55.75    2008      0.00
    13.75    55.75    2009      0.00
    13.75    55.75    2010      0.00
    13.75    55.75    2011      0.00
    13.75    55.75    2012      0.01
    13.75    55.75    2013      0.02
    13.75    55.75    2014      0.03
    13.75    55.75    2015      0.03
    13.75    55.75    2016      0.04
    13.75    55.75    2017      0.05
    13.75    55.75    2018      0.05
    13.75    55.75    2019      0.06
    13.75    55.75    2020      0.09
    13.75    55.75    2021      0.09
    13.75    55.75    2022      0.10
    13.75    55.75    2023      0.11
    13.75    55.75    2024      0.11
    13.75    55.75    2025      0.11
    13.75    55.75    2026      0.11
    13.75    55.75    2027      0.11
    13.75    55.75    2028      0.12
    13.75    55.75    2029      0.13
    13.75    55.75    2030      0.14
    13.75    55.75    2031      0.15
    13.75    55.75    2032      0.17
    13.75    55.75    2033      0.18
    13.75    55.75    2034      0.19
    13.75    55.75    2035      0.21
    13.75    55.75    2036      0.23
    13.75    55.75    2037      0.26
    13.75    55.75    2038      0.27
    13.75    55.75    2039      0.29
    13.75    55.75    2040      0.30
    13.75    55.75    2041      0.31
    13.75    55.75    2042      0.32
    13.75    55.75    2043      0.32
    13.75    55.75    2044      0.32
    13.75    55.75    2045      0.34
    13.75    55.75    2046      0.34
    13.75    55.75    2047      0.36
    13.75    55.75    2048      0.37
    13.75    55.75    2049      0.38
    13.75    55.75    2050      0.40
    13.75    55.75    2051      0.41
    13.75    55.75    2052      0.42
    13.75    55.75    2053      0.43
    13.75    55.75    2054      0.44
    13.75    55.75    2055      0.46
    13.75    55.75    2056      0.46
    13.75    55.75    2057      0.47
    13.75    55.75    2058      0.47
    13.75    55.75    2059      0.48
    13.75    55.75    2060      0.49
    13.75    55.75    2061      0.51
    13.75    55.75    2062      0.51
    13.75    55.75    2063      0.54
    13.75    55.75    2064      0.55
    13.75    55.75    2065      0.55
    13.75    55.75    2066      0.56
    13.75    55.75    2067      0.57
    13.75    55.75    2068      0.59
    13.75    55.75    2069      0.60
    13.75    55.75    2070      0.61
    13.75    55.75    2071      0.62
    13.75    55.75    2072      0.63
    13.75    55.75    2073      0.63
    13.75    55.75    2074      0.65
    13.75    55.75    2075      0.67
    13.75    55.75    2076      0.67
    13.75    55.75    2077      0.70
    13.75    55.75    2078      0.70
    13.75    55.75    2079      0.72
    13.75    55.75    2080      0.73
    13.75    55.75    2081      0.73
    13.75    55.75    2082      0.74
    13.75    55.75    2083      0.74
    13.75    55.75    2084      0.76
    13.75    55.75    2085      0.76
    13.75    55.75    2086      0.77
    13.75    55.75    2087      0.79
    13.75    55.75    2088      0.79
    13.75    55.75    2089      0.81
    13.75    55.75    2090      0.81
    13.75    55.75    2091      0.82
    13.75    55.75    2092      0.84
    13.75    55.75    2093      0.85
    13.75    55.75    2094      0.87
    13.75    55.75    2095      0.89
    13.75    55.75    2096      0.89
    13.75    55.75    2097      0.90
    13.75    55.75    2098      0.90
    13.75    55.75    2099      0.90
    13.75    55.75    2100      0.90
    13.75    55.75    2101      0.92
    13.75    55.75    2102      0.93
    13.75    55.75    2103      0.93
    13.75    55.75    2104      0.93
    13.75    55.75    2105      0.93
    13.75    55.75    2106      0.93
    13.75    55.75    2107      0.94
    13.75    55.75    2108      0.95
    13.75    55.75    2109      0.95
    13.75    55.75    2110      0.95
    13.75    55.75    2111      0.95
    13.75    55.75    2112      0.96
    13.75    55.75    2113      0.96
    13.75    55.75    2114      0.96
    13.75    55.75    2115      0.97
    13.75    55.75    2116      0.97
    13.75    55.75    2117      0.98
    13.75    55.75    2118      0.98
    13.75    55.75    2119      0.98
    13.75    55.75    2120      0.98
    13.75    55.75    2121      0.98
    13.75    55.75    2122      1.00
    13.75    55.75    2123      1.00
    13.75    55.75    2124      1.00
    13.75    55.75    2125      1.00
    13.75    55.75    2126      1.00
    13.75    55.75    2127      1.00
    13.75    55.75    2128      1.00
    13.75    55.75    2129      1.00
    13.75    55.75    2130      1.00
    23.75    61.75    1980      0.00
    23.75    61.75    1981      0.00
    23.75    61.75    1982      0.00
    23.75    61.75    1983      0.00
    23.75    61.75    1984      0.00
    23.75    61.75    1985      0.00
    23.75    61.75    1986      0.00
    23.75    61.75    1987      0.00
    23.75    61.75    1988      0.00
    23.75    61.75    1989      0.00
    23.75    61.75    1990      0.00
    23.75    61.75    1991      0.00
    23.75    61.75    1992      0.00
    23.75    61.75    1993      0.00
    23.75    61.75    1994      0.00
    23.75    61.75    1995      0.00
    23.75    61.75    1996      0.00
    23.75    61.75    1997      0.00
    23.75    61.75    1998      0.00
    23.75    61.75    1999      0.00
    23.75    61.75    2000      0.00
    23.75    61.75    2001      0.00
    23.75    61.75    2002      0.00
    23.75    61.75    2003      0.00
    23.75    61.75    2004      0.00
    23.75    61.75    2005      0.00
    23.75    61.75    2006      0.00
    23.75    61.75    2007      0.00
    23.75    61.75    2008      0.00
    23.75    61.75    2009      0.00
    23.75    61.75    2010      0.00
    23.75    61.75    2011      0.09
    23.75    61.75    2012      0.12
    23.75    61.75    2013      0.17
    23.75    61.75    2014      0.19
    23.75    61.75    2015      0.25
    23.75    61.75    2016      0.27
    23.75    61.75    2017      0.28
    23.75    61.75    2018      0.31
    23.75    61.75    2019      0.32
    23.75    61.75    2020      0.33
    23.75    61.75    2021      0.35
    23.75    61.75    2022      0.36
    23.75    61.75    2023      0.38
    23.75    61.75    2024      0.39
    23.75    61.75    2025      0.41
    23.75    61.75    2026      0.42
    23.75    61.75    2027      0.42
    23.75    61.75    2028      0.43
    23.75    61.75    2029      0.45
    23.75    61.75    2030      0.46
    23.75    61.75    2031      0.47
    23.75    61.75    2032      0.47
    23.75    61.75    2033      0.49
    23.75    61.75    2034      0.49
    23.75    61.75    2035      0.50
    23.75    61.75    2036      0.51
    23.75    61.75    2037      0.53
    23.75    61.75    2038      0.53
    23.75    61.75    2039      0.53
    23.75    61.75    2040      0.53
    23.75    61.75    2041      0.54
    23.75    61.75    2042      0.55
    23.75    61.75    2043      0.56
    23.75    61.75    2044      0.58
    23.75    61.75    2045      0.59
    23.75    61.75    2046      0.60
    23.75    61.75    2047      0.61
    23.75    61.75    2048      0.61
    23.75    61.75    2049      0.62
    23.75    61.75    2050      0.64
    23.75    61.75    2051      0.65
    23.75    61.75    2052      0.66
    23.75    61.75    2053      0.66
    23.75    61.75    2054      0.67
    23.75    61.75    2055      0.68
    23.75    61.75    2056      0.68
    23.75    61.75    2057      0.69
    23.75    61.75    2058      0.71
    23.75    61.75    2059      0.71
    23.75    61.75    2060      0.72
    23.75    61.75    2061      0.74
    23.75    61.75    2062      0.74
    23.75    61.75    2063      0.75
    23.75    61.75    2064      0.76
    23.75    61.75    2065      0.77
    23.75    61.75    2066      0.79
    23.75    61.75    2067      0.80
    23.75    61.75    2068      0.80
    23.75    61.75    2069      0.81
    23.75    61.75    2070      0.81
    23.75    61.75    2071      0.82
    23.75    61.75    2072      0.85
    23.75    61.75    2073      0.86
    23.75    61.75    2074      0.87
    23.75    61.75    2075      0.89
    23.75    61.75    2076      0.89
    23.75    61.75    2077      0.90
    23.75    61.75    2078      0.91
    23.75    61.75    2079      0.91
    23.75    61.75    2080      0.92
    23.75    61.75    2081      0.93
    23.75    61.75    2082      0.93
    23.75    61.75    2083      0.93
    23.75    61.75    2084      0.95
    23.75    61.75    2085      0.96
    23.75    61.75    2086      0.96
    23.75    61.75    2087      0.97
    23.75    61.75    2088      0.98
    23.75    61.75    2089      0.99
    23.75    61.75    2090      0.99
    23.75    61.75    2091      0.99
    23.75    61.75    2092      0.99
    23.75    61.75    2093      1.00
    23.75    61.75    2094      1.00
    23.75    61.75    2095      1.00
    23.75    61.75    2096      1.00
    23.75    61.75    2097      1.00
    23.75    61.75    2098      1.00
    23.75    61.75    2099      1.00
    23.75    61.75    2100      1.00
    23.75    61.75    2101      1.00
    23.75    61.75    2102      1.00
    23.75    61.75    2103      1.00
    23.75    61.75    2104      1.00
    23.75    61.75    2105      1.00
    23.75    61.75    2106      1.00
    23.75    61.75    2107      1.00
    23.75    61.75    2108      1.00
    23.75    61.75    2109      1.00
    23.75    61.75    2110      1.00
    23.75    61.75    2111      1.00
    23.75    61.75    2112      1.00
    23.75    61.75    2113      1.00
    23.75    61.75    2114      1.00
    23.75    61.75    2115      1.00
    23.75    61.75    2116      1.00
    23.75    61.75    2117      1.00
    23.75    61.75    2118      1.00
    23.75    61.75    2119      1.00
    23.75    61.75    2120      1.00
    23.75    61.75    2121      1.00
    23.75    61.75    2122      1.00
    23.75    61.75    2123      1.00
    23.75    61.75    2124      1.00
    23.75    61.75    2125      1.00
    23.75    61.75    2126      1.00
    23.75    61.75    2127      1.00
    23.75    61.75    2128      1.00
    23.75    61.75    2129      1.00
    23.75    61.75    2130      1.00
    21.75    39.75    1980      0.00
    21.75    39.75    1981      0.00
    21.75    39.75    1982      0.00
    21.75    39.75    1983      0.00
    21.75    39.75    1984      0.00
    21.75    39.75    1985      0.00
    21.75    39.75    1986      0.00
    21.75    39.75    1987      0.00
    21.75    39.75    1988      0.00
    21.75    39.75    1989      0.00
    21.75    39.75    1990      0.00
    21.75    39.75    1991      0.00
    21.75    39.75    1992      0.00
    21.75    39.75    1993      0.00
    21.75    39.75    1994      0.00
    21.75    39.75    1995      0.00
    21.75    39.75    1996      0.00
    21.75    39.75    1997      0.00
    21.75    39.75    1998      0.00
    21.75    39.75    1999      0.00
    21.75    39.75    2000      0.00
    21.75    39.75    2001      0.00
    21.75    39.75    2002      0.00
    21.75    39.75    2003      0.00
    21.75    39.75    2004      0.00
    21.75    39.75    2005      0.00
    21.75    39.75    2006      0.00
    21.75    39.75    2007      0.00
    21.75    39.75    2008      0.00
    21.75    39.75    2009      0.00
    21.75    39.75    2010      0.00
    21.75    39.75    2011      0.31
    21.75    39.75    2012      0.31
    21.75    39.75    2013      0.31
    21.75    39.75    2014      0.31
    21.75    39.75    2015      0.31
    21.75    39.75    2016      0.32
    21.75    39.75    2017      0.32
    21.75    39.75    2018      0.32
    21.75    39.75    2019      0.32
    21.75    39.75    2020      0.32
    21.75    39.75    2021      0.32
    21.75    39.75    2022      0.32
    21.75    39.75    2023      0.32
    21.75    39.75    2024      0.32
    21.75    39.75    2025      0.32
    21.75    39.75    2026      0.32
    21.75    39.75    2027      0.32
    21.75    39.75    2028      0.32
    21.75    39.75    2029      0.32
    21.75    39.75    2030      0.35
    21.75    39.75    2031      0.35
    21.75    39.75    2032      0.35
    21.75    39.75    2033      0.35
    21.75    39.75    2034      0.35
    21.75    39.75    2035      0.35
    21.75    39.75    2036      0.36
    21.75    39.75    2037      0.36
    21.75    39.75    2038      0.36
    21.75    39.75    2039      0.36
    21.75    39.75    2040      0.36
    21.75    39.75    2041      0.36
    21.75    39.75    2042      0.36
    21.75    39.75    2043      0.36
    21.75    39.75    2044      0.36
    21.75    39.75    2045      0.36
    21.75    39.75    2046      0.36
    21.75    39.75    2047      0.36
    21.75    39.75    2048      0.36
    21.75    39.75    2049      0.36
    21.75    39.75    2050      0.36
    21.75    39.75    2051      0.36
    21.75    39.75    2052      0.36
    21.75    39.75    2053      0.36
    21.75    39.75    2054      0.39
    21.75    39.75    2055      0.39
    21.75    39.75    2056      0.39
    21.75    39.75    2057      0.39
    21.75    39.75    2058      0.39
    21.75    39.75    2059      0.39
    21.75    39.75    2060      0.39
    21.75    39.75    2061      0.39
    21.75    39.75    2062      0.39
    21.75    39.75    2063      0.39
    21.75    39.75    2064      0.39
    21.75    39.75    2065      0.39
    21.75    39.75    2066      0.43
    21.75    39.75    2067      0.44
    21.75    39.75    2068      0.44
    21.75    39.75    2069      0.44
    21.75    39.75    2070      0.44
    21.75    39.75    2071      0.44
    21.75    39.75    2072      0.44
    21.75    39.75    2073      0.44
    21.75    39.75    2074      0.44
    21.75    39.75    2075      0.44
    21.75    39.75    2076      0.45
    21.75    39.75    2077      0.45
    21.75    39.75    2078      0.45
    21.75    39.75    2079      0.45
    21.75    39.75    2080      0.45
    21.75    39.75    2081      0.46
    21.75    39.75    2082      0.46
    21.75    39.75    2083      0.59
    21.75    39.75    2084      0.59
    21.75    39.75    2085      0.59
    21.75    39.75    2086      0.60
    21.75    39.75    2087      0.60
    21.75    39.75    2088      0.60
    21.75    39.75    2089      0.61
    21.75    39.75    2090      0.61
    21.75    39.75    2091      0.61
    21.75    39.75    2092      0.62
    21.75    39.75    2093      0.62
    21.75    39.75    2094      0.62
    21.75    39.75    2095      0.62
    21.75    39.75    2096      0.63
    21.75    39.75    2097      0.63
    21.75    39.75    2098      0.63
    21.75    39.75    2099      0.63
    21.75    39.75    2100      0.63
    21.75    39.75    2101      0.63
    21.75    39.75    2102      0.63
    21.75    39.75    2103      0.63
    21.75    39.75    2104      0.63
    21.75    39.75    2105      0.63
    21.75    39.75    2106      0.63
    21.75    39.75    2107      0.63
    21.75    39.75    2108      0.63
    21.75    39.75    2109      0.63
    21.75    39.75    2110      0.63
    21.75    39.75    2111      0.63
    21.75    39.75    2112      0.63
    21.75    39.75    2113      0.66
    21.75    39.75    2114      0.66
    21.75    39.75    2115      0.66
    21.75    39.75    2116      0.66
    21.75    39.75    2117      0.66
    21.75    39.75    2118      0.66
    21.75    39.75    2119      0.66
    21.75    39.75    2120      0.66
    21.75    39.75    2121      0.66
    21.75    39.75    2122      0.66
    21.75    39.75    2123      0.66
    21.75    39.75    2124      0.66
    21.75    39.75    2125      0.66
    21.75    39.75    2126      0.66
    21.75    39.75    2127      0.66
    21.75    39.75    2128      0.66
    21.75    39.75    2129      0.66
    21.75    39.75    2130      0.67
